logFC AveExpr t P.Value adj.P.Val B
IFIT5 0.122408954768971 6.46406887082778 3.77547078372841 0.000177314967800547 0.720253399205821 0.587973675294031
RGL1 0.0817516715850425 5.77554885630556 3.52156297984223 0.000465093253843165 0.944604398555469 -0.274536494795042
SERPING1 0.176278127516394 6.13454930803704 3.2541393123244 0.00120813301151404 0.999745836587528 -1.12097821536672
ADK -0.0782595809507278 6.69020031299259 -3.16107133365867 0.0016595779008529 0.999745836587528 -1.4005176510554
PGRMC1 -0.0981982021048712 8.55654531389259 -3.0866206383105 0.00212773836534634 0.999745836587528 -1.61851795904144
CIRBP -0.0570253726001174 9.41904798927037 -2.90161482936091 0.00386305276232059 0.999745836587528 -2.13851492020745
RFX2 -0.0902373262627251 6.38679957105556 -2.90112990178865 0.00386894340172674 0.999745836587528 -2.13983708208069
PBX1 -0.0718996368649085 5.88682247532963 -2.86486196864569 0.00433340709081743 0.999745836587528 -2.23811558712371
RPN1 -0.0623759928185692 9.14747927655926 -2.84595927135961 0.00459507509111763 0.999745836587528 -2.28886311210847
SLC31A2 -0.0948599670421457 8.69640079222037 -2.8087079866919 0.00515315527770899 0.999745836587528 -2.3879171795153
TSPAN9 -0.104981994149785 6.80355101592407 -2.77320229517288 0.00574153763160108 0.999745836587528 -2.48115102660626
EIF2AK2 0.130708200855342 8.05361509440926 2.74630413676767 0.00622701408509398 0.999745836587528 -2.55101587453718
IFI44 0.182173387680647 7.57272223584815 2.73720116971796 0.00639951884731839 0.999745836587528 -2.57450999035174
ISG15 0.191716157094474 7.0961360839 2.73608061928402 0.00642104910942516 0.999745836587528 -2.57739681388006
OAS2 0.130212649908308 8.93976221142778 2.67837506312329 0.0076221342167912 0.999745836587528 -2.72450779483968
MAP7 -0.0634091789258553 5.72182041779815 -2.67652493517749 0.00766378352277925 0.999745836587528 -2.72917394804539
IFI44L 0.232621775691284 7.28814307370741 2.67325493553106 0.00773789690044448 0.999745836587528 -2.73741344713537
CCS -0.0734070576712507 6.96188388991296 -2.66567457077928 0.00791218582993769 0.999745836587528 -2.75647619231775
SPARC -0.0901349865881686 6.97078538912037 -2.64778824111845 0.00833748348108672 0.999745836587528 -2.80124711535155
FOXO1 -0.056028948947338 7.91200623849444 -2.64357575297962 0.00844058399961972 0.999745836587528 -2.81174863157428
TNFAIP3 0.0677441230063318 7.4663033863963 2.5637719016573 0.0106221533044185 0.999745836587528 -3.00761830289454
H6PD 0.0599599443631647 6.51161841775741 2.55771659407866 0.0108066031172004 0.999745836587528 -3.02224155295897
C1QB 0.101289290108069 5.14642806569259 2.55526487478635 0.0108820929567054 0.999745836587528 -3.02815273698212
